doc,A_sent_id,A_speaker,A_text,A_sound_url,A_tokens,A_pos_tags,B_sent_id,B_speaker,B_text,B_sound_url,B_has_verbal_bc,B_tokens,B_pos_tags,B_token_count,B_all_in_lexicon,first_token_form,first_token_lemma,first_token_upos,first_token_deprel,backchannel_type,A_is_question,B_has_content,warnings,keep?
Gos042,Gos042.s92,Cf-gost-02095,"da bi skupaj pripravili tak zakonski predlog , ki bi potem držal vodo , če s- lahko tako rečem .",https://nl.ijs.si/project/gos20/Gos042/Gos042.s92.mp3,da bi skupaj pripravili tak zakonski predlog ki bi potem držal vodo če s- lahko tako rečem,SCONJ AUX ADV VERB DET ADJ NOUN SCONJ AUX ADV VERB NOUN SCONJ X ADV ADV VERB,Gos042.s93,Am-novi-02093,mhm .,https://nl.ijs.si/project/gos20/Gos042/Gos042.s93.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos073,Gos073.s374,Hm-gost-03510,"samo takšni pomembni vsebinski problemi se ne re- , ne rešujejo na ta način , na takšno razpravo kot to .",https://nl.ijs.si/project/gos20/Gos073/Gos073.s374.mp3,samo takšni pomembni vsebinski problemi se ne re- ne rešujejo na ta način na takšno razpravo kot to,PART DET ADJ ADJ NOUN PRON PART X PART VERB ADP DET NOUN ADP DET NOUN SCONJ DET,Gos073.s375,Am-novi-02535,mhm .,https://nl.ijs.si/project/gos20/Gos073/Gos073.s375.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos073,Gos073.s386,Hm-gost-03510,"vsakemu predsedniku vlade ali v Nemčiji ali Franciji ali v Avstriji ali na Madžarskem , kjer koli , za tako p- močna podjetja , ki so v državi , se usedejo za mizo .",https://nl.ijs.si/project/gos20/Gos073/Gos073.s386.mp3,vsakemu predsedniku vlade ali v Nemčiji ali Franciji ali v Avstriji ali na Madžarskem kjer koli za tako p- močna podjetja ki so v državi se usedejo za mizo,DET NOUN NOUN CCONJ ADP PROPN CCONJ PROPN CCONJ ADP PROPN CCONJ ADP PROPN ADV PART ADP ADV X ADJ NOUN SCONJ VERB ADP NOUN PRON VERB ADP NOUN,Gos073.s387,Am-novi-02535,mhm .,https://nl.ijs.si/project/gos20/Gos073/Gos073.s387.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos073,Gos073.s388,Hm-gost-03510,"in pričakujemo od gospoda Pahorja , da si bo vzel čas in obadva akterja ali pa gospoda [name:personal] [name:surname] poklical in poskušal najti en dialog .",https://nl.ijs.si/project/gos20/Gos073/Gos073.s388.mp3,in pričakujemo od gospoda Pahorja da si bo vzel čas in obadva akterja ali pa gospoda [name:personal] [name:surname] poklical in poskušal najti en dialog,CCONJ VERB ADP NOUN PROPN SCONJ PRON AUX VERB NOUN CCONJ DET NOUN CCONJ CCONJ NOUN PROPN PROPN VERB CCONJ VERB VERB DET NOUN,Gos073.s389,Am-novi-02535,mhm .,https://nl.ijs.si/project/gos20/Gos073/Gos073.s389.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos141,Gos141.s333,Cf-novi-02068,"jaz pa zdaj tule gledam eno položnico in mi je prav zanimivo , prizidek si želi [name:personal] pa me zanima , če zato , da se loči od tašče .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s333.mp3,jaz pa zdaj tule gledam eno položnico in mi je prav zanimivo prizidek si želi [name:personal] pa me zanima če zato da se loči od tašče,PRON CCONJ ADV ADV VERB DET NOUN CCONJ PRON AUX PART ADJ NOUN PRON VERB PROPN CCONJ PRON VERB SCONJ ADV SCONJ PRON VERB ADP NOUN,Gos141.s334,Am-novi-02066,mhm .,https://nl.ijs.si/project/gos20/Gos141/Gos141.s334.mp3,0,mhm,INTJ,1,1,mhm,mhm,INTJ,root,continuer,0,0,OK,
Gos141,Gos141.s347,Cf-novi-02068,"tri tisoč sedemsto dvajset evrov piše , in sicer , eee , to je račun za izdelavo projekta za prizidek k stanovanjski hiši .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s347.mp3,tri tisoč sedemsto dvajset evrov piše in sicer eee to je račun za izdelavo projekta za prizidek k stanovanjski hiši,NUM NUM NUM NUM NOUN VERB CCONJ CCONJ INTJ DET AUX NOUN ADP NOUN NOUN ADP NOUN ADP ADJ NOUN,Gos141.s348,Kf-posl-02076,"ja , ja , ja .",https://nl.ijs.si/project/gos20/Gos141/Gos141.s348.mp3,0,ja ja ja,PART PART PART,3,1,ja,ja,PART,root,agreement,0,0,OK,
Gos155,Gos155.s89,Bm-posl-10506,"pa to za vajudva tudi pa što , tako , koga po- , eee , me pozna , pa to .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s89.mp3,pa to za vajudva tudi pa što tako koga po- eee me pozna pa to,CCONJ DET ADP PRON PART CCONJ PRON ADV PRON X INTJ PRON VERB CCONJ DET,Gos155.s90,Pm-mode-10504,aha .,https://nl.ijs.si/project/gos20/Gos155/Gos155.s90.mp3,0,aha,INTJ,1,1,aha,aha,INTJ,root,understanding,0,0,OK,
Gos155,Gos155.s91,Pm-mode-10504,"evo , zgučano .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s91.mp3,evo zgučano,PART ADJ,Gos155.s92,Bm-posl-10506,ja .,https://nl.ijs.si/project/gos20/Gos155/Gos155.s92.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
Gos155,Gos155.s110,Ff-posl-10507,"eee , jaz bi imela od Davorja Borna .",https://nl.ijs.si/project/gos20/Gos155/Gos155.s110.mp3,eee jaz bi imela od Davorja Borna,INTJ PRON AUX VERB ADP PROPN PROPN,Gos155.s111,Pm-mode-10504,aha .,https://nl.ijs.si/project/gos20/Gos155/Gos155.s111.mp3,0,aha,INTJ,1,1,aha,aha,INTJ,root,understanding,0,0,OK,
Gos176,Gos176.s765,Bf-udel-02285,točno .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s765.mp3,točno,ADV,Gos176.s766,Am-udel-02284,ja .,https://nl.ijs.si/project/gos20/Gos176/Gos176.s766.mp3,0,ja,PART,1,1,ja,ja,PART,root,agreement,0,0,OK,
