doc,confidence,confidence_score,A_sent_id,A_speaker,A_text,B_sent_id,B_speaker,B_text,B_nonpunct_token_count,A_root_token_id,A_root_form,A_root_upos,B_root_form,B_root_upos,a_orphan_last2,a_truncation,a_end_connector,b_backchannel_like,b_question_like,a_b_lexical_overlap,overlap_lemmas,why_candidate,proposed_attach_A_root,keep?,proposed_coconstruct_deprel,proposed_coconstruct_misc
Gos174,HIGH,97,Gos174.s24,Bf-udel-05579,"[name:personal] , ime , eee , kaj , ose- , osebe , zadolžene ali pa odgovorne za , ne , odgovorne za",Gos174.s25,Cf-udel-05580,"eee , osebe , ja , tako .",4,3,ime,NOUN,osebe,NOUN,True,True,True,False,False,True,oseba,A orphan near end; A truncation marker; A connector-like ending; A/B lexical overlap,Gos174.s24::3,,,
Gos201,HIGH,73,Gos201.s20,Cf-vodj-05590,"eee , a čakaj , a to za one , ki , ki , ki , ki bi mogle , kot si rekla , da b- .",Gos201.s21,Af-klic-06567,"ja , nnn , ja .",3,7,to,DET,ja,PART,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos201.s20::7,,,
Gos280,HIGH,73,Gos280.s54,Af-soro-09512,"ja , j- .",Gos280.s55,Mf-soro-09513,"mislim , če b-",3,1,ja,PART,mislim,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos280.s54::1,,,
Gos156,HIGH,68,Gos156.s23,Rm-mode-08503,"eee , torej on- , o- .",Gos156.s24,Jm-gost-08504,"sta si to izmislila , to ime .",6,3,torej,CCONJ,izmislila,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos156.s23::3,,,
Gos181,HIGH,68,Gos181.s474,Af-udel-02552,"vam pokažem , kaj pa boste povedale , saj do sedemindvajsetega bo še čas , da se še k-",Gos181.s475,Cf-udel-02554,"ja , tebi prepustimo , ti zaupamo .",5,2,pokažem,VERB,prepustimo,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos181.s474::2,,,
Gos225,HIGH,68,Gos225.s366,Bm-prij-02346,"no , ni že vs- .",Gos225.s367,Dm-prij-02348,"iščem , pa ne te najdem .",5,3,ni,VERB,iščem,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos225.s366::3,,,
Gos255,HIGH,68,Gos255.s253,Tf-soro-10524,"to , to je in še danes jo vidim , to brodarico , ne , in te me ona čez odpeljala in jaz lepo pa skoz šumo , dete malo , pa p- , skozi .",Gos255.s254,Jm-soro-05614,"ampak to trebalo plačati , brod .",5,4,je,VERB,trebalo,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos255.s253::4,,,
Gos048,HIGH,62,Gos048.s114,Bf-novi-04534,odprta pa je do ?,Gos048.s115,Cf-gost-07017,odprta pa je do konca julija .,6,1,odprta,ADJ,odprta,ADJ,True,False,True,False,False,True,odprt,A orphan near end; A connector-like ending; A/B lexical overlap,Gos048.s114::1,,,
Gos253,HIGH,62,Gos253.s92,Am-prij-02280,"ja , dober jabolčnik je iz",Gos253.s94,Cm-prij-02282,"samo ni tukla , ni jabolčnik .",5,5,je,VERB,tukla,NOUN,True,False,True,False,False,True,jabolčnik,A orphan near end; A connector-like ending; A/B lexical overlap,Gos253.s92::5,,,
Gos155,MEDIUM,59,Gos155.s87,Pm-mode-10504,"[name:personal] pravi , ka si je , ka si je zapomnil in ka bo Rdeča vrtnica od Viktorije , pozdrave še nekomu .",Gos155.s88,Dm-mode-10505,malo .,1,2,pravi,VERB,malo,DET,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos155.s87::2,,,
